Date,Level1,Level2,Level3,Level4
2019-01-01 00:00:00,30,28.9,63.0,9.84
2019-01-01 01:00:00,68,31.4,70.0,9.95
2019-01-01 02:00:00,44,23.1,69.9,10.51
2019-01-01 03:00:00,41,28.3,75.7,9.44
2019-01-01 04:00:00,58,36.6,50.9,9.4
2019-01-01 05:00:00,33,24.9,43.4,10.76
2019-01-01 06:00:00,55,19.6,61.5,10.08
2019-01-01 07:00:00,46,22.6,69.1,10.6
2019-01-01 08:00:00,63,36.1,40.0,9.44
2019-01-01 09:00:00,12,29.5,47.7,9.29
2019-01-01 10:00:00,31,22.1,38.5,9.3
2019-01-01 11:00:00,22,35.9,57.8,9.49
2019-01-01 12:00:00,69,31.6,23.9,10.67
2019-01-01 13:00:00,27,35.3,37.0,9.84
2019-01-01 14:00:00,59,35.4,68.2,9.45
2019-01-01 15:00:00,54,19.5,16.4,9.59
2019-01-01 16:00:00,29,30.3,12.9,9.6
2019-01-01 17:00:00,66,28.5,25.2,10.76
2019-01-01 18:00:00,31,19.8,54.3,9.56
2019-01-01 19:00:00,38,20.5,68.1,9.04
2019-01-01 20:00:00,62,18.4,65.0,9.36
2019-01-01 21:00:00,39,22.4,14.3,9.25
2019-01-01 22:00:00,56,24.0,53.8,9.81
2019-01-01 23:00:00,58,28.8,39.5,9.45
2019-01-02 00:00:00,23,20.3,39.4,10.92
2019-01-02 01:00:00,66,31.4,33.2,10.32
2019-01-02 02:00:00,26,30.9,33.7,9.84
2019-01-02 03:00:00,57,14.6,55.8,10.98
2019-01-02 04:00:00,67,25.3,73.3,10.9
2019-01-02 05:00:00,77,20.8,51.5,10.25
2019-01-02 06:00:00,14,22.6,64.1,9.22
2019-01-02 07:00:00,74,25.0,57.8,9.3
2019-01-02 08:00:00,39,25.0,59.3,9.94
2019-01-02 09:00:00,11,18.7,33.5,10.19
2019-01-02 10:00:00,74,29.0,43.7,10.81
2019-01-02 11:00:00,66,34.7,72.8,10.05
2019-01-02 12:00:00,35,29.2,68.6,10.48
2019-01-02 13:00:00,44,19.5,57.5,9.42
2019-01-02 14:00:00,23,26.2,42.4,9.85
2019-01-02 15:00:00,25,22.8,64.3,10.28
2019-01-02 16:00:00,63,30.9,24.6,9.57
2019-01-02 17:00:00,38,14.6,18.6,10.77
2019-01-02 18:00:00,13,33.2,44.7,10.37
2019-01-02 19:00:00,66,27.3,70.9,10.93
2019-01-02 20:00:00,40,19.7,72.8,10.54
2019-01-02 21:00:00,29,31.5,35.2,10.1
2019-01-02 22:00:00,45,35.8,19.0,9.28
2019-01-02 23:00:00,43,19.7,29.9,9.96
2019-01-03 00:00:00,38,15.6,56.5,9.73
2019-01-03 01:00:00,54,26.0,37.4,9.76
2019-01-03 02:00:00,33,37.8,52.4,10.5
2019-01-03 03:00:00,63,25.6,71.7,10.66
2019-01-03 04:00:00,59,19.8,76.4,9.47
2019-01-03 05:00:00,28,31.8,51.3,9.74
2019-01-03 06:00:00,71,31.3,38.8,10.14
2019-01-03 07:00:00,29,25.1,31.1,9.38
2019-01-03 08:00:00,21,31.4,69.2,10.64
2019-01-03 09:00:00,19,29.2,14.7,9.02
2019-01-03 10:00:00,73,29.4,18.9,9.35
2019-01-03 11:00:00,34,32.6,62.3,9.14
2019-01-03 12:00:00,46,25.0,53.1,9.72
2019-01-03 13:00:00,58,20.4,25.6,9.58
2019-01-03 14:00:00,42,32.5,28.2,9.62
2019-01-03 15:00:00,58,19.2,36.2,9.75
2019-01-03 16:00:00,77,28.9,45.3,10.83
2019-01-03 17:00:00,39,25.8,69.2,9.24
2019-01-03 18:00:00,57,27.1,19.9,10.52
2019-01-03 19:00:00,48,31.7,56.1,10.42
2019-01-03 20:00:00,62,33.7,62.4,9.19
2019-01-03 21:00:00,68,30.5,39.5,9.52
2019-01-03 22:00:00,10,34.2,75.7,9.6
2019-01-03 23:00:00,65,17.6,55.4,10.44
2019-01-04 00:00:00,53,18.4,32.7,10.13
2019-01-04 01:00:00,34,23.3,62.8,10.33
2019-01-04 02:00:00,29,23.5,62.2,10.92
2019-01-04 03:00:00,79,16.9,67.5,10.08
2019-01-04 04:00:00,37,16.5,58.7,9.85
2019-01-04 05:00:00,49,34.3,61.5,9.93
2019-01-04 06:00:00,60,14.2,20.4,10.02
2019-01-04 07:00:00,15,20.1,77.0,9.98
2019-01-04 08:00:00,28,16.1,77.0,9.59
2019-01-04 09:00:00,64,35.2,59.0,9.78
2019-01-04 10:00:00,61,36.1,40.9,9.67
2019-01-04 11:00:00,52,27.8,37.9,10.32
2019-01-04 12:00:00,33,19.3,55.5,10.56
2019-01-04 13:00:00,67,25.1,72.9,9.05
2019-01-04 14:00:00,38,28.1,34.6,9.0
2019-01-04 15:00:00,50,22.8,36.2,10.21
2019-01-04 16:00:00,15,37.7,35.1,9.83
2019-01-04 17:00:00,45,20.0,54.9,10.95
2019-01-04 18:00:00,39,17.8,60.4,9.1
2019-01-04 19:00:00,71,29.8,76.8,10.04
2019-01-04 20:00:00,39,29.9,51.6,9.85
2019-01-04 21:00:00,13,22.0,65.2,9.98
2019-01-04 22:00:00,18,28.5,33.0,9.73
2019-01-04 23:00:00,77,34.9,34.2,9.76
2019-01-05 00:00:00,45,14.9,41.6,10.7
2019-01-05 01:00:00,17,28.2,71.2,10.1
2019-01-05 02:00:00,24,36.7,17.7,9.74
2019-01-05 03:00:00,73,14.3,37.2,10.59
2019-01-05 04:00:00,55,37.5,19.6,9.25
2019-01-05 05:00:00,50,15.1,76.0,9.85
2019-01-05 06:00:00,68,18.4,78.3,10.33
2019-01-05 07:00:00,54,15.1,67.6,9.98
2019-01-05 08:00:00,26,22.8,37.8,10.0
2019-01-05 09:00:00,33,20.3,57.3,9.87
2019-01-05 10:00:00,11,18.2,25.3,10.78
2019-01-05 11:00:00,66,29.7,22.6,9.94
2019-01-05 12:00:00,42,35.4,47.0,9.98
2019-01-05 13:00:00,69,35.3,41.1,9.19
2019-01-05 14:00:00,10,20.9,52.2,10.71
2019-01-05 15:00:00,26,28.6,71.0,10.97
2019-01-05 16:00:00,47,31.0,36.9,9.21
2019-01-05 17:00:00,51,32.6,28.5,10.6
2019-01-05 18:00:00,29,17.5,43.0,9.75
2019-01-05 19:00:00,65,22.1,66.9,10.82
2019-01-05 20:00:00,17,24.3,62.4,9.38
2019-01-05 21:00:00,26,21.4,30.3,9.34
2019-01-05 22:00:00,26,17.4,57.6,10.19
2019-01-05 23:00:00,36,17.4,63.8,10.39
2019-01-06 00:00:00,37,30.0,34.5,10.08
2019-01-06 01:00:00,49,31.1,49.2,10.52
2019-01-06 02:00:00,68,33.1,73.7,10.07
2019-01-06 03:00:00,63,25.7,31.0,10.73
2019-01-06 04:00:00,16,35.0,76.7,9.23
2019-01-06 05:00:00,15,15.6,73.1,10.91
2019-01-06 06:00:00,64,15.3,78.4,10.75
2019-01-06 07:00:00,40,21.1,78.6,9.62
2019-01-06 08:00:00,59,30.1,61.0,10.18
2019-01-06 09:00:00,12,33.1,46.6,10.43
2019-01-06 10:00:00,73,28.9,29.0,9.02
2019-01-06 11:00:00,29,16.2,35.3,9.27
2019-01-06 12:00:00,51,14.5,27.9,9.44
2019-01-06 13:00:00,40,18.7,45.9,9.82
2019-01-06 14:00:00,51,36.5,12.1,10.06
2019-01-06 15:00:00,40,34.8,77.8,10.52
2019-01-06 16:00:00,32,17.6,12.9,9.67
2019-01-06 17:00:00,47,24.6,21.7,9.84
2019-01-06 18:00:00,16,20.9,22.9,10.82
2019-01-06 19:00:00,42,22.1,21.7,10.12
2019-01-06 20:00:00,43,19.0,29.2,9.5
2019-01-06 21:00:00,21,32.8,48.3,9.22
2019-01-06 22:00:00,14,18.9,43.1,9.63
2019-01-06 23:00:00,28,37.9,77.7,9.97
2019-01-07 00:00:00,67,17.9,77.9,10.97
2019-01-07 01:00:00,13,16.4,18.4,9.63
2019-01-07 02:00:00,44,26.6,39.3,9.34
2019-01-07 03:00:00,78,20.7,38.6,9.68
2019-01-07 04:00:00,18,25.5,24.0,9.93
2019-01-07 05:00:00,26,37.1,22.7,10.73
2019-01-07 06:00:00,75,37.4,70.2,9.46
2019-01-07 07:00:00,38,23.8,49.6,10.56
2019-01-07 08:00:00,58,35.1,71.8,9.01
2019-01-07 09:00:00,67,27.4,17.4,10.3
2019-01-07 10:00:00,76,24.1,27.3,9.1
2019-01-07 11:00:00,54,29.9,47.1,9.63
2019-01-07 12:00:00,47,14.1,24.7,9.49
2019-01-07 13:00:00,16,27.2,16.5,10.27
2019-01-07 14:00:00,79,18.8,42.5,10.86
2019-01-07 15:00:00,78,30.2,32.1,9.29
2019-01-07 16:00:00,19,15.8,19.8,9.25
2019-01-07 17:00:00,69,23.2,72.2,10.37
2019-01-07 18:00:00,28,30.3,62.9,9.51
2019-01-07 19:00:00,79,25.2,62.3,9.22
2019-01-07 20:00:00,77,31.9,23.9,9.37
2019-01-07 21:00:00,27,37.7,28.3,10.45
2019-01-07 22:00:00,33,29.8,40.2,9.19
2019-01-07 23:00:00,37,20.7,39.4,10.96
2019-01-08 00:00:00,24,31.6,30.3,10.37
2019-01-08 01:00:00,47,18.1,29.7,10.88
2019-01-08 02:00:00,64,32.4,48.3,9.23
2019-01-08 03:00:00,23,16.3,66.8,10.59
2019-01-08 04:00:00,53,35.4,21.9,9.23
2019-01-08 05:00:00,76,32.2,45.8,9.75
2019-01-08 06:00:00,43,33.1,12.7,9.96
2019-01-08 07:00:00,22,26.9,13.8,9.96
2019-01-08 08:00:00,48,27.2,52.6,10.91
2019-01-08 09:00:00,77,30.6,74.3,10.55
2019-01-08 10:00:00,70,28.0,75.3,9.9
2019-01-08 11:00:00,69,27.4,61.5,10.67
2019-01-08 12:00:00,39,27.5,76.7,10.6
2019-01-08 13:00:00,56,19.2,14.5,10.46
2019-01-08 14:00:00,79,14.0,68.3,10.85
2019-01-08 15:00:00,53,19.3,73.4,9.73
2019-01-08 16:00:00,55,33.4,46.5,10.39
2019-01-08 17:00:00,68,28.5,41.9,9.35
